,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997
13-Nov,110,23,82,104,31,27,160,28,71,28,,28,392,15,15,12,647,108,30,0,516,9
14-Nov,110,36,24,61,,56,145,15,59,89,12,103,242,27,15,25,356,186,2,0,375,18
15-Nov,83,42,39,0,,55,60,33,74,123,200,63,216,67,6,1,144,109,0,3,300,14
16-Nov,33,27,27,117,,16,12,36,60,91,172,117,146,31,22,15,38,46,,11,105,14
17-Nov,31,24,20,85,,31,47,1,115,129,134,146,55,48,0,0,93,162,,6,36,14
18-Nov,31,21,24,0,2,30,44,31,25,96,116,129,86,9,14,0,49,77,,14,24,10
19-Nov,24,16,30,0,,85,37,66,55,61,120,23,137,17,11,3,13,93,,11,17,17
20-Nov,41,9,31,100,,250,41,,34,111,71,64,72,26,25,0,29,24,,6,104,15
21-Nov,53,53,29,75,,82,75,,20,69,106,0,93,41,22,0,16,11,,29,190,10
22-Nov,16,,22,103,,0,29,10,30,51,8,0,111,51,16,0,42,14,,7,99,2
23-Nov,17,,,140,,3,0,2,,55,60,36,91,42,40,0,14,2,,4,55,9
24-Nov,31,,,95,,0,34,,,70,41,,56,42,18,0,38,7,,6,27,0
25-Nov,11,,,,,15,32,,,18,58,,74,82,4,0,82,5,,4,117,0
26-Nov,9,310,,,,,45,,,15,105,,74,71,10,0,87,6,,13,190,
27-Nov,33,152,,,,,1,54,,37,79,4,36,19,240,0,73,5,,8,53,
28-Nov,57,71,,,,,8,105,,23,,,25,,26,0,50,6,,8,34,
29-Nov,39,44,,,,,9,41,,12,26,,,,29,0,69,30,,12,31,
30-Nov,41,,,,,,,29,,10,51,,,,17,,30,4,,2,7,
1-Dec,18,,,,,,,,,12,22,,,,,,38,47,,3,5,
2-Dec,8,,,,,,,,,17,15,,,,0,,32,36,,8,19,
3-Dec,8,,,,,,,,,,5,,,,,,30,59,,0,0,
4-Dec,11,,,,,,,,,,,,,,12,,43,2,,0,0,
5-Dec,,,,,,,,,,,,,,,23,,29,0,,,,
6-Dec,,,,,,,,,,,,,,,,,14,0,,,,
7-Dec,,,,,,,,,,,,,,,,,19,0,,,,
8-Dec,,,,,,,,,,,,,,,,,6,0,,,,
